T (BPM),beatport_key/1.0
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,-0.007124550264188966
59.0,-0.007124550264188966
60.0,-0.005343412698141725
61.0,-0.005343412698141725
62.0,-0.005343412698141725
63.0,-0.005343412698141725
64.0,-0.003562275132094483
65.0,-0.003562275132094483
66.0,-0.003562275132094483
67.0,-0.003053378684652414
68.0,-0.003053378684652414
69.0,-0.0026717063490708623
70.0,-0.0021373650792566898
71.0,-0.0021373650792566898
72.0,-0.0019430591629606272
73.0,-0.0019430591629606272
74.0,-0.0027608315874573124
75.0,-0.003095841976852432
76.0,-0.0019734034436965447
77.0,-0.0012610989246811773
78.0,-0.0017722971182959435
79.0,-0.0006757670432910737
80.0,-0.0008494916010325756
81.0,-0.0008668281643189546
82.0,-0.0007584746437790852
83.0,-0.014614002853860317
84.0,-0.01413485521930752
85.0,-0.01326501797504244
86.0,-0.013064032854208464
87.0,-0.013064032854208464
88.0,-0.012897399563321164
89.0,-0.012710480729070134
90.0,-0.005572363558140472
91.0,-0.005766354003776552
92.0,-0.015871638446572484
93.0,-0.016077763621203292
94.0,-0.02066281622639372
95.0,-0.02478703828380006
96.0,-0.025839277255290557
97.0,-0.032578213204814334
98.0,-0.035530921831082245
99.0,-0.03242533015811885
100.0,-0.03481509165664689
101.0,-0.04433293615255026
102.0,-0.04356857518440284
103.0,-0.04792078115194241
104.0,-0.03307788101397728
105.0,-0.030176312503979275
106.0,-0.05729152220071514
107.0,-0.06030719710465507
108.0,-0.05738149550980556
109.0,-0.07010312315407544
110.0,-0.0467354154360503
111.0,-0.05748421391788899
112.0,-0.05192574757679503
113.0,-0.0384659970539925
114.0,-0.03236449407301438
115.0,-0.02331196801947529
116.0,-0.017456067975592328
117.0,-0.014771269206493971
118.0,-0.009341051301251176
119.0,-0.008863561761732586
120.0,-0.008864015921758936
121.0,-0.00873887687345175
122.0,-0.007715799148041716
123.0,-0.007583924898977436
124.0,-0.007367151893918121
125.0,-0.0071575830216622435
126.0,-0.007049914195500349
127.0,-0.003494973186132856
128.0,-0.002536949262899935
129.0,-0.0025626343134191386
130.0,-0.0006810288055024183
131.0,-0.0007248777426776243
132.0,0.0001291023265650687
133.0,0.00015029269569092685
134.0,0.00015390694889391506
135.0,0.00017625007390883413
136.0,0.00021796676416487417
137.0,0.0002405718489093846
138.0,0.00022855191064567352
139.0,0.00023636929420609503
140.0,7.590438902919238e-05
141.0,4.58452187478452e-05
142.0,4.708427871400318e-05
143.0,4.637292642254491e-06
144.0,-4.718449197663677e-05
145.0,-5.033012477507922e-05
146.0,-5.4223062602985905e-05
147.0,7.000069553583236e-05
148.0,6.059756136405053e-06
149.0,6.673920609689349e-06
150.0,6.765344179685093e-06
151.0,1.122432102538665e-05
152.0,1.1485351746907291e-05
153.0,1.5678416670381325e-05
154.0,-0.0003032165220456815
